Processor Pool Total:  156034848 Used:   19801172 Free:  136233676
      I/O Pool Total:   12582912 Used:    4124704 Free:    8458208

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 190   0        252        252       7068          0          0 VOICE REG BG Pro
 191   0          0          0       7068          0          0 Presence Process
  61   0        252        252       7068          0          0 FLEX DNLD MAIN  
   7   0        252        252       7068          0          0 Timers          
   6   0       5340      48280       7068       2268      20412 Pool Manager    
  60   0          0          0       7068          0          0 DSPFARM DSP READ
  58   0        252        252       7068          0          0 SM Monitor      
  79   0        252        252       7068          0          0 EtherChnl       
  56   0        252        252       7068          0          0 ESWILPPM        
  55   0          0          0       7068          0          0 ARL Table Manage
 181   0          0          0       7068          0          0 IPSECv6 PS Proc 
 227   0          0          0       7068          0          0 Crypto cTCP proc
 204   0          0          0       7068          0          0 Crypto INT      
  50   0          0          0       7068          0          0 Transport Port A
  49   0          0          0       7068          0          0 AggMgr Process  
  48   0          0       1948       7068          0          0 Per-minute Jobs 
 208   0          0          0       7068          0          0 IPSEC manual key
 228   0          0          0       7068          0          0 trunk conditioni
 210   0          0          0       7068          0          0 CRYPTO QoS proce
  35   0          0          0       7068          0          0 Critical Bkgnd  
 212   0          0          0       7068          0          0 Crypto PAS Proc 
  47   0        252        252       7068          0          0 Compute load avg
 214   0          0          0       7068          0          0 GDOI GM Process 
 215   0          0          0       7068          0          0 UNICAST REKEY   
 216   0          0          0       7068          0          0 UNICAST REKEY AC
 217   0        252        252       7068          0          0 Control-plane ho
 218   0          0          0       7068          0          0 PM Callback     
  46   0          0          0       7068          0          0 Net Input       
  44   0          0          0       7068          0          0 IPSEC HA Mgr    
 221   0        252        252       7068          0          0 AAA SEND STOP EV
  43   0          0          0       7068          0          0 IKE HA Mgr      
  33   0          0          0       7068          0          0 SERIAL A'detect 
 224   0        252        252       7068          0          0 RMON Recycle Pro
 225   0        252        252       7068          0          0 RMON Deferred Se
 226   0          0          0       7068          0          0 Syslog Traps    
  26   0          0          0       7068          0          0 HC Counter Timer
  23   0        252        252       7068          0          0 DDR Timers      
  21   0          0          0       7068          0          0 AAA_SERVER_DEADT
 133   0        252        252       7068          0          0 Dialer Forwarder
  19   0        252        252       7068          0          0 ATM Idle Timer  
  31   0        252        252       7068          0          0 GraphIt         
  30   0        252        252       7068          0          0 SMART           
 244   0          0          0       7068          0          0 VPDN Test       
  28   0          0          0       7068          0          0 RO Notify Timers
  27   0        252        252       7068          0          0 Serial Backgroun
 243   0          0          0       7068          0          0 IP SLA MPLSLM Pr
  16   0          0          0       7068          0          0 IPC BackPressure
  20   0        252        252       7068          0          0 AAA high-capacit
 249   0        252          0       4320          0          0 Async write proc
 248   0        252          0       4320          0          0 Async write proc
 246   0        252          0       4320          0          0 Async write proc
 247   0        252          0       4320          0          0 Async write proc
  51   0          0          0       4068          0          0 dev_device_inser
  29   0          0          0       4068          0          0 RMI RM Notify Wa
  52   0          0          0       4068          0          0 dev_device_remov
  57   0        252        252       4068          0          0 Eswilp Storm Con
 250   0          0          0       4068          0          0 DFS flush period
   2   0        252        252       4068          0          0 Load Meter      
  41   0          0          0       4068          0          0 Inode Table Dest
                                 23915796 Total
