Processor Pool Total:  156034848 Used:   19751648 Free:  136283200
      I/O Pool Total:   12582912 Used:    4124704 Free:    8458208

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  56   0        252        252       7068          0          0 ESWILPPM        
  55   0          0          0       7068          0          0 ARL Table Manage
 224   0        252        252       7068          0          0 RMON Recycle Pro
  48   0          0          0       7068          0          0 Per-minute Jobs 
 226   0          0          0       7068          0          0 Syslog Traps    
 227   0          0          0       7068          0          0 Crypto cTCP proc
 228   0          0          0       7068          0          0 trunk conditioni
  44   0          0          0       7068          0          0 IPSEC HA Mgr    
  43   0          0          0       7068          0          0 IKE HA Mgr      
 244   0          0          0       7068          0          0 VPDN Test       
 243   0          0          0       7068          0          0 IP SLA MPLSLM Pr
  50   0          0          0       7068          0          0 Transport Port A
  49   0          0          0       7068          0          0 AggMgr Process  
  39   0      13656        252       7068          0          0 TTY Background  
  47   0        252        252       7068          0          0 Compute load avg
  46   0          0          0       7068          0          0 Net Input       
 142   0          0          0       7068          0          0 LAPB Process    
 249   0        252          0       4320          0          0 Async write proc
 248   0        252          0       4320          0          0 Async write proc
 246   0        252          0       4320          0          0 Async write proc
 247   0        252          0       4320          0          0 Async write proc
  51   0          0          0       4068          0          0 dev_device_inser
   2   0        252        252       4068          0          0 Load Meter      
  57   0        252        252       4068          0          0 Eswilp Storm Con
  52   0          0          0       4068          0          0 dev_device_remov
  29   0          0          0       4068          0          0 RMI RM Notify Wa
 250   0          0          0       4068          0          0 DFS flush period
  41   0          0          0       4068          0          0 Inode Table Dest
                                 23867616 Total
